City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
168,Trinidad,BO,2020-02-20 20:57:43,-14.83,-64.9,78.8,83,75,17.22
169,Innisfail,AU,2020-02-20 20:54:03,-17.53,146.03,69.01,98,41,1.01
170,Saint George,US,2020-02-20 20:49:11,37.1,-113.58,55.4,16,1,11.41
171,Aparecida Do Taboado,BR,2020-02-20 20:57:44,-20.09,-51.09,85.73,71,100,2.73
172,Palmer,US,2020-02-20 20:53:35,42.16,-72.33,35.6,36,75,12.75
173,Tombouctou,ML,2020-02-20 20:54:06,20.0,-3.0,78.82,10,100,8.34
174,Baiyin,CN,2020-02-20 20:57:44,36.56,104.21,23.0,48,90,4.47
175,Salinas,US,2020-02-20 20:57:44,36.68,-121.66,71.01,39,1,4.7
176,Butterworth,MY,2020-02-20 20:57:44,5.4,100.36,80.6,65,20,9.17
177,Visp,CH,2020-02-20 20:57:44,46.29,7.88,42.01,69,2,1.12
178,Omsukchan,RU,2020-02-20 20:57:44,62.53,155.8,-25.91,99,17,1.07
179,San Carlos De Bariloche,AR,2020-02-20 20:57:44,-41.15,-71.31,73.4,9,0,13.87
180,Atasu,KZ,2020-02-20 20:57:44,48.68,71.64,21.42,76,100,7.96
181,Gorontalo,ID,2020-02-20 20:57:44,0.54,123.06,71.85,90,87,3.98
182,Zonguldak,TR,2020-02-20 20:57:44,41.25,31.83,39.61,90,100,1.57
183,Vestmannaeyjar,IS,2020-02-20 20:53:49,63.44,-20.27,37.67,70,98,3.83
184,Kidodi,TZ,2020-02-20 20:57:45,-7.6,37.0,71.83,92,96,1.81
185,Kruisfontein,ZA,2020-02-20 20:54:57,-34.0,24.73,64.78,91,55,3.89
186,Chokwe,MZ,2020-02-20 20:54:49,-24.53,32.98,79.34,74,13,8.68
187,Salalah,OM,2020-02-20 20:53:42,17.02,54.09,77.0,69,75,5.82
188,Qui Nhon,VN,2020-02-20 20:55:08,13.77,109.23,67.06,94,59,4.92
189,Cidreira,BR,2020-02-20 20:50:08,-30.18,-50.21,74.39,79,0,25.32
190,Ulladulla,AU,2020-02-20 20:53:49,-35.35,150.47,64.4,88,75,3.36
191,Guiong,PH,2020-02-20 20:57:45,6.42,122.03,71.22,93,7,5.06
192,Pemangkat,ID,2020-02-20 20:57:45,1.17,108.97,76.86,88,100,10.47
193,Castro,BR,2020-02-20 20:53:24,-24.79,-50.01,78.89,57,100,2.8
194,Bauchi,NG,2020-02-20 20:57:45,10.5,10.0,75.13,21,0,7.0
195,Port Blair,IN,2020-02-20 20:54:47,11.67,92.75,79.83,82,13,15.93
196,Vao,NC,2020-02-20 20:56:16,-22.67,167.48,79.38,71,0,6.87
197,Luderitz,NA,2020-02-20 20:53:59,-26.65,15.16,69.8,73,0,17.22
198,Namibe,AO,2020-02-20 20:53:33,-15.2,12.15,75.43,75,99,17.38
